TILEID,NTILE_SIMILAR
4729,105
3055,188
4601,222
2490,54
3384,74
6869,168
3257,9
7672,15
1409,71
7205,103
9923,135
2389,59
1830,144
9290,133
3296,82
10270,70
1715,80
1246,100
8368,45
5514,32
8403,17
8090,129
5833,72
5141,50
2667,247
7361,177
2196,165
23233,118
25132,166
22443,135
23127,70
23339,119
21204,90
22158,12
25553,11
25073,34
24663,101
24957,59
24011,26
21556,90
24355,105
21191,85
21539,59
23352,68
20767,159
22239,80
23216,41
20511,27
24976,89
25108,74
24350,34
23852,134
20303,113
20593,185
